movieId,title,release_year,genres,synopsis,director,main_actors,country
948,Once Upon a Time in Mexico,2003,"Action, Drama, Mystery, Crime, Thriller",A corrupt CIA agent Sands hires hitman El Mariachi to assassinate a Mexican general hired by a drug kingpin attempting a coup detat of the President of Mexico.,Robert Rodriguez,"Antonio Banderas,Johnny Depp,Cheech Marin",United States of America
949,25th Hour,2002,"Crime, Drama","In New York City in the days following the events of 911, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.",Spike Lee,"Edward Norton,Philip Seymour Hoffman,Barry Pepper",United States of America
950,Bowling for Columbine,2002,"Documentary, Drama, Crime","This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchists Cookbook to the murder of a six-year-old girl by another six-year-old. Bowling for Columbine is a journey through the US, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",Michael Moore,"Michael Moore,George H. W. Bush,George W. Bush",Canada
951,The Devils Backbone,2001,"Fantasy, Drama, Horror, Thriller","Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucia orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.",Guillermo del Toro,"Marisa Paredes,Eduardo Noriega,Federico Luppi",Mexico
952,Tarnation,2003,"Documentary, Drama","Filmmaker Jonathan Caouettes documentary on growing up with his schizophrenic mother -- a mixture of snapshots, Super-8, answering machine messages, video diaries, early short films, and more -- culled from 19 years of his life.",Jonathan Caouette,"Renee Leblanc,Adolph Davis,Jonathan Caouette",United States of America
953,The Warrior,2001,"History, Drama, Action, War","In 1375, China was in chaos between Yuan Dynasty and Ming Dynasty. Coryo an ancient kingdom of Korea then sent a delegation of many diplomats, soldiers and a silent slave to make peace with the new Chinese government. However, this delegation got charged as spies and sent in exile to a remote desert.",Kim Sung-soo,"Jung Woo-sung,Ahn Sung-ki,Ju Jin-mo",China
954,Abgefahren,2004,"Action, Comedy","Mia is dreaming of one day being the youngest driver in the Dakar Rally. Shes pretty and loves the challenge. One day she gets to know the driving instructor Sherin, an exotic beauty of mid-twenties. She takes Mia to a secret car race out of town.",Jakob Schauffelen,"Felicitas Woll,Sebastian Strobel,Nina Tenge",Germany
955,Anna and the King,1999,"Drama, Romance, History",The story of the romance between the King of Siam now Thailand and the widowed British school teacher Anna Leonowens during the 1860s. Anna teaches the children and becomes romanced by the King. She convinces him that a man can be loved by just one woman.,Andy Tennant,"Jodie Foster,Chow Yun-Fat,Bai Ling",United States of America
956,Little Children,2006,"Drama, Romance","The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations.",Todd Field,"Kate Winslet,Patrick Wilson,Jennifer Connelly",United States of America
957,The Contract,2006,"Drama, Action, Thriller, Crime","Attempting to recover from a recent family trauma by escaping into the woods for a peaceful hiking trip, an ex-lawman and his young son stumble across a dangerous contract killer.",Bruce Beresford,"Morgan Freeman,John Cusack,Alice Krige",Bulgaria
958,Full Metal Village,2007,Documentary,"The film describes the microcosmos of the small village Wacken and shows the clash of the cultures, before and during the biggest heavy metal festival in Europe.",Sung Hyung Cho,"Uwe Trede,Lore Trede,Klaus H. Plahn",Germany
959,The Virgin Suicides,2000,Drama,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",Sofia Coppola,"James Woods,Kirsten Dunst,Kathleen Turner",United States of America
960,Junebug,2005,"Comedy, Drama","On the way to meet with an independent artist in the South, newlywed art dealer Madeleine is convinced by her husband, George, that they should stop to meet his family in North Carolina. Madeleines affluent lifestyle clashes with the family, but she befriends Georges wide-eyed and pregnant sister-in-law, Ashley, who is nearing her due date. Through the family, Madeleine gains greater insight into Georges character.",Phil Morrison,"Amy Adams,Embeth Davidtz,Ben McKenzie",United States of America
961,Immortality,1998,"Fantasy, Horror",A vampire in London is searching for the ideal woman to redeem him.,Leong Po-Chih,"Jude Law,Elina Lowensohn,Timothy Spall",United Kingdom
962,Blood The Last Vampire,2009,"Action, Adventure, Horror, Science Fiction, Thriller","On the surface, Saya is a stunning 16-year-old, but that youthful exterior hides the tormented soul of a 400-year-old halfling. Born to a human father and a vampire mother, she has for centuries been a loner obsessed with using her samurai skills to rid the world of vampires, all the while knowing that she herself can survive only on blood like those she hunts.",Chris Nahon,"Jun Ji-hyun,Allison Miller,Liam Cunningham",China
963,Superman Returns,2006,"Science Fiction, Action, Adventure","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",Bryan Singer,"Brandon Routh,Kate Bosworth,Kevin Spacey",United States of America
964,"Clean, Shaven",1995,"Drama, Crime, Thriller","Peter Winter is a young schizophrenic who is desperately trying to get his daughter back from her adoptive family. He attempts to function in a world that, for him, is filled with strange voices, electrical noise, disconcerting images, and jarringly sudden emotional shifts. During his quest, he runs afoul of the law and an ongoing murder investigation.",Lodge Kerrigan,"Peter Greene,Robert Albert,Megan Owen",United States of America
965,Touch of Evil,1958,"Crime, Thriller, Mystery, Drama","When a car bomb explodes on the American side of the U.S.Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy.",Orson Welles,"Charlton Heston,Janet Leigh,Orson Welles",United States of America
966,Metal Skin,1994,"Action, Drama","Psycho Joe loves one thing fast cars When he gets a job at a local supermarket, Joe meets fellow petrol head Dazey, who quickly becomes his idol and best friend. Soon after, Joe falls for Savina, a goth girl who practices black magic. But Savina has already fallen for Dazey and will do anything to get him -- including using Joes feelings for her. In true Shakespearean fashion, this trio race down the road to tragedy.",Geoffrey Wright,"Aden Young,Tara Morice,Nadine Garner",Australia
967,Laws of Gravity,1992,"Action, Drama",The lives of two incompetent young men from Brooklyn spin out of control after a friend returns from Florida with guns to sell.,Nick Gomez,"Peter Greene,Adam Trese,Paul Schulze",United States of America
968,Begotten,1991,"Fantasy, Horror","Begotten is the creation myth brought to life, the story of no less than the violent death of God and the rebirth of nature on a barren earth.",E. Elias Merhige,"Brian Salzberg,Donna Dempsey,Stephen Charles Barry",United States of America
969,The Deathmaker,1995,Drama,"Fritz Haarmann, who has killed at least 27 boys, is questioned by a psychology professor in order to find out whether he is sane and can be held responsible for his crimes. During this interrogation Haarmann reveals his motives and his killing methods.",Romuald Karmakar,"Gotz George,Jurgen Hentsch,Hans-Michael Rehberg",Germany
970,Get Carter,1971,"Crime, Thriller","Jack Carter is a small-time hood working in London. When word reaches him of his brothers death, he travels to Newcastle to attend the funeral. Refusing to accept the police report of suicide, Carter seeks out his brothers friends and acquaintances to learn who murdered his sibling and why.",Mike Hodges,"Michael Caine,Ian Hendry,Britt Ekland",United Kingdom
971,Hellboy,2004,"Fantasy, Action","In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed Hellboy. Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research  Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.",Guillermo del Toro,"Ron Perlman,Selma Blair,Doug Jones",Czech Republic
